date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:52	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:51%20GMT	https://zenka-kash.vercel.app/images/apple-touch-icon.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/apple-touch-icon.8.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:29:53	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:52%20GMT	https://zenka-kash.vercel.app/images/favicon-32x32.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/favicon-32x32.9.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:29:53	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:52%20GMT	https://zenka-kash.vercel.app/images/favicon-16x16.png	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/favicon-16x16.a.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:29:54	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:53%20GMT	https://zenka-kash.vercel.app/images/site.webmanifest	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/images/site.b.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:29:55	3361/3361	---MCZ	200	added ('OK')	text/css	etag:W/%22267217b60f4e7507ba99201ee5c8219d%22	https://zenka-kash.vercel.app/main.css	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/main.css	(from https://zenka-kash.vercel.app/signup.html)
14:29:56	1964/1964	---MCZ	200	added ('OK')	text/css	etag:W/%22f6ef0b8470325a216b81dd801f6cf4d4%22	https://zenka-kash.vercel.app/shared.css	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/shared.css	(from https://zenka-kash.vercel.app/signup.html)
14:29:57	127439/127439	---M--	200	added ('OK')	image/gif	etag:%22c336831c1170b33d9153c0f54182f7cf%22	https://zenka-kash.vercel.app/assets/process.gif	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/assets/process.gif	(from https://zenka-kash.vercel.app/signup.html)
14:29:58	16856/16856	---MCZ	200	added ('OK')	text/html	etag:W/%22fa8d730acc33d763e8ff456a31c55fda%22	https://zenka-kash.vercel.app/index.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/index-2.html	(from https://zenka-kash.vercel.app/signup.html)
14:29:58	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:57%20GMT	https://zenka-kash.vercel.app/about.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/about.10.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:29:59	3739/3739	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2016%20May%202025%2011:29:58%20GMT	https://zenka-kash.vercel.app/contact.html	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/contact.11.delayed	(from https://zenka-kash.vercel.app/signup.html)
14:30:00	3211/3211	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c0e74181547a444385433f1b7a26ed1%22	https://zenka-kash.vercel.app/index.js	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/index.js	(from https://zenka-kash.vercel.app/signup.html)
14:30:02	474171/474171	---M--	200	added ('OK')	image/jpeg	etag:%223b86675c3dfd3337942296f5e3925901%22	https://zenka-kash.vercel.app/bg.jpg	C:/My%20Web%20Sites/Zenka/Zenka%20Node/zenka-kash.vercel.app/bg.jpg	(from https://zenka-kash.vercel.app/main.css)
